Section,Theme,Kanji,On,Kun,Meanings,Example Use
3,Health & body,口,コウ・ク,くち,mouth,口紅 (lipstick)
3,Health & body,手,シュ,て・た,hand,手紙 (letter)
3,Health & body,足,ソク,あし・た(りる)・た(る)・た(す),foot leg,足りる (be enough)
3,Health & body,体,タイ・テイ,からだ,body,体育 (PE class)
3,Health & body,病,ビョウ・ヘイ,や(む)・やまい,illness disease,病院 (hospital)
3,Health & body,院,イン,,institution hospital,病院 (hospital)
3,Nature & places,花,カ,はな,flower,花見 (flower viewing)
3,Nature & places,木,モク・ボク,き・こ,tree wood Thursday,木曜日 (Thursday)
3,Nature & places,森,シン,もり,forest,森林 (forest/woodland)
3,Nature & places,海,カイ,うみ,ocean sea,海外 (overseas)
3,Nature & places,空,クウ,そら・あ(く)・あ(ける)・から,sky empty,空港 (airport)
3,Nature & places,土,ド・ト,つち,earth soil Saturday,土曜日 (Saturday)
3,Nature & places,火,カ,ひ・ほ,fire Tuesday,火曜日 (Tuesday)
3,Nature & places,金,キン・コン,かね・かな,gold money Friday,金曜日 (Friday)
3,Travel & shopping,店,テン,みせ,shop store,お店 (shop)
3,Travel & shopping,新,シン,あたら(しい)・あら(た)・にい,new,新幹線 (shinkansen)
3,Travel & shopping,古,コ,ふる(い)・ふる(す),old ancient,古い (old)
3,Travel & shopping,高,コウ,たか(い)・たか・たか(まる)・たか(める),expensive tall,高校 (high school)
3,Travel & shopping,安,アン,やす(い)・やす(らか),cheap safe,安全 (safety)
3,Travel & shopping,長,チョウ,なが(い),long leader,長い (long)
3,Travel & shopping,短,タン,みじか(い),short (length),短い (short)
3,Travel & shopping,広,コウ,ひろ(い)・ひろ(まる)・ひろ(める)・ひろ(がる)・ひろ(げる),wide spacious,広い (wide/spacious)
3,Travel & shopping,多,タ,おお(い),many much,多い (many)
3,Travel & shopping,少,ショウ,すく(ない)・すこ(し),few a little,少し (a little)
3,Gifts & giving,言,ゲン・ゴン,い(う)・こと,say speak,言葉 (word/language)
3,Gifts & giving,思,シ,おも(う),think feel,思い出 (memory)
3,Gifts & giving,知,チ,し(る)・し(らせる),know,知らない (don't know)
3,Gifts & giving,待,タイ,ま(つ),wait,待合室 (waiting room)
4,Work & society,仕,シ・ジ,つか(える),work serve,仕事 (work/job)
4,Work & society,事,ジ・ズ,こと,thing matter work,仕事 (job)
4,Work & society,働,ドウ,はたら(く),work labor,働く (to work)
4,Work & society,問,モン,と(う)・と(い)・とん,question problem,問題 (problem)
4,Work & society,答,トウ,こた(える)・こた(え),answer reply,答える (to answer)
4,Work & society,考,コウ,かんが(える),think consider,考える (to think)
4,Work & society,決,ケツ,き(める)・き(まる),decide determine,決める (to decide)
4,Work & society,始,シ,はじ(める)・はじ(まる),begin start,始める (to begin)
4,Work & society,終,シュウ,お(わる)・お(える),end finish,終わる (to end)
4,Numbers & money,数,スウ・ス,かず・かぞ(える),number count,数学 (mathematics)
4,Numbers & money,計,ケイ,はか(る)・はか(らう),plan calculate,合計 (total)
4,Numbers & money,以,イ,,by means of,以上 (or more) / 以下 (or less)
4,Geography & travel,地,チ・ジ,,ground earth place,地図 (map)
4,Geography & travel,図,ズ・ト,はか(る),map diagram,地図 (map)
4,Geography & travel,都,ト・ツ,みやこ,capital city,東京都 (Tokyo Metro)
4,Geography & travel,市,シ,いち,city market,大阪市 (Osaka City)
4,Geography & travel,町,チョウ,まち,town neighborhood,町 (town)
4,Geography & travel,村,ソン,むら,village,村 (village)
4,Geography & travel,島,トウ,しま,island,島 (island)
4,Geography & travel,橋,キョウ,はし,bridge,橋 (bridge)
4,Geography & travel,港,コウ,みなと,harbor port,空港 (airport)
4,Nature & environment,星,セイ・ショウ,ほし,star,星空 (starry sky)
4,Nature & environment,光,コウ,ひか(る)・ひかり,light,光る (to shine)
4,Nature & environment,石,セキ・シャク・コク,いし,stone rock,石けん (soap)
4,Nature & environment,草,ソウ,くさ,grass plant,草原 (grassland)
4,Nature & environment,葉,ヨウ,は,leaf,紅葉 (autumn leaves)
4,Expressing opinions,好,コウ,この(む)・す(く),like fond of,好き (like)
4,Expressing opinions,嫌,ケン・ゲン,きら(う)・いや,dislike hate,嫌い (dislike)
4,Expressing opinions,楽,ガク・ラク,たの(しい)・たの(しむ),fun enjoyable easy,楽しい (fun)
4,Expressing opinions,難,ナン,むずか(しい)・かた(い)・がた(い),difficult hard,難しい (difficult)
4,Expressing opinions,易,イ・エキ,やさ(しい)・やす(い),easy gentle,易しい (easy)
4,Expressing opinions,強,キョウ・ゴウ,つよ(い)・つよ(まる)・つよ(める)・し(いる),strong,勉強 (studying)
4,Expressing opinions,弱,ジャク,よわ(い)・よわ(る)・よわ(まる)・よわ(める),weak,弱い (weak)
4,Expressing opinions,正,セイ・ショウ,ただ(しい)・ただ(す)・まさ,correct right proper,正しい (correct)
